"User-ID";"Location";"Age"
"276746";"fort worth, ,";NULL
"276747";"iowa city, iowa, usa";"25"
"276762";"duisburg, nordrhein-westfalen, germany";"25"
"276772";"bonn, nordrhein-westfalen, germany";NULL
"276774";"bern, bern, switzerland";"28"
"276786";"madrid, madrid, spain";"34"
"276798";"mannheim, baden-wuerttemberg, germany";"31"
"276800";"dunedin, otago, new zealand";"23"
"276813";"sitges, barcelona, spain";"29"
"276822";"calgary, alberta, canada";"11"
"276828";"paris, paris, france";NULL
"276847";"köln, nordrhein-westfalen, germany";"27"
"276848";"köln, nordrhein-westfalen, germany";"41"
"276856";"mirecourt, lorraine, france";NULL
"276859";"ottawa, ontario, canada";NULL
"276861";"zauggenried, bern, switzerland";"17"
"276866";"mönchengladbach, nordrhein-westfalen, germany";"27"
"276872";"são paulo, são paulo, brazil";"43"
"276875";"roma, lazio, italy";NULL
"276884";"badalona, catalunya, spain";"22"
"276904";"battle ground, washington, usa";NULL
"276925";"barcelona, barcelona, spain";"22"
"276928";"highland, california, usa";"10"
"276929";"collex, geneva, switzerland";"35"
"276936";"kitzbuehel, tirol, austria";"32"
"276939";"poissy, yvelines, france";"23"
"276954";"freiburg, baden-wuerttemberg, germany";"43"
"276964";"villa ridge, missouri, usa";"34"
"276984";"yarmouth, nova scotia, canada";"11"
"276988";"sarnia, ontario, canada";NULL
"276994";"wien, wien, austria";"25"
"277042";"hiram, georgia, usa";NULL
"277051";"cologne, nordrhein-westfalen, germany";"18"
"277087";"barcelona, cataluña, spain";"29"
"277107";"eugene, oregon, usa";"57"
"277109";"wheaton, illinois, usa";NULL
"277143";"prospect, connecticut, usa";"34"
"277157";"garden grove, california, usa";"70"
"277168";"palestine, texas, usa";"37"
"277170";"pasadena, california, usa";NULL
"277171";"tilton, new hampshire, usa";"54"
"277186";"loughborough, england, united kingdom";"40"
"277187";"st. louis, missouri, usa";"47"
"277188";"waterloo, ontario, canada";"42"
"277195";"san francisco, california, usa";"54"
"277196";"saginaw, michigan, usa";NULL
"277197";"allendale, michigan, usa";NULL
"277203";"olympia, washington, usa";"8"
"277244";"des moines, iowa, usa";NULL
"277272";"porto, porto, portugal";"43"
"277351";"berlin, berlin, germany";"44"
"277378";"vancouver, british columbia, canada";"33"
"277400";"arenzano genova, liguria, italy";"25"
"277427";"gilbert, arizona, usa";"48"
"277439";"turner, oregon, usa";"65"
"277466";"manchester, connecticut, usa";"50"
"277478";"schiedam, zuid-holland, netherlands";"31"
"277509";"baixa da banheira, setúbal, portugal";"34"
"277523";"woodstock, virginia, usa";"62"
"277527";"oakland, california, usa";NULL
"277554";"oxford, michigan, usa";"24"
"277562";"tonbridge, kent, united kingdom";"22"
"277563";"felton, california, usa";"66"
"277565";"wellington, n/a, new zealand";NULL
"277589";"sunnyvale, california, usa";NULL
"277623";"alamosa, co, usa";"54"
"277627";"heidelberg, baden-wuerttemberg, germany";"32"
"277629";"pierre, south dakota, usa";"50"
"277639";"forsyth, montana, usa";"48"
"277662";"charleston, south carolina, usa";NULL
"277680";"grasse, alpes-maritimes, france";"35"
"277681";"le chesnay, ile de france, france";"24"
"277710";"douglasville, georgia, usa";"56"
"277711";"mannheim, baden-wuerttemberg, germany";"34"
"277722";"arnold, california, usa";NULL
"277744";"springfield, missouri, usa";NULL
