"ISBN";"1st-Keyword";"2nd-Keyword";"Book-Author";"Year-of-Publication"
"0002005018";"callan";"clara";"Richard Bruce Wright";"2001"
"0002251760";"forgetting";"byzantium";"Nick Bantock";"1997"
"0002255081";"spadework";"null";"Timothy Findley";"2001"
"0002257203";"restraint";"beasts";"Magnus Mills";"0"
"0002259834";"wyoming";"edition";"Douglas Coupland";"0"
"0002558122";"angelas";"ashes";"Frank Mccourt";"0"
"0006480764";"girls";"lost";"Andrew Pyper";"0"
"000648302X";"before";"after";"Matthew Thomas";"1999"
"0006485200";"daughter";"piano";"Timothy Findley";"1999"
"0006485936";"dust";"null";"Arthur G. Slade";"2001"
"000649840X";"angelas";"ashes";"Frank Mccourt";"0"
"000651202X";"lisbon";"small";"Robert Wilson";"2000"
"0006512062";"tiffany";"trials";"Isabel Wolff";"1998"
"0006514480";"futon";"fever";"Dawn Anderson";"2000"
"0006543545";"bookshop";"the";"Penelope Fitzgerald";"1989"
"0006546684";"postcards";"null";"E Annie Proulx";"0"
"0006547834";"smillas";"feeling";"Peter Hoeg";"0"
"0006550576";"leaves";"red";"Paullina Simons";"0"
"0006550649";"cocaine";"nights";"J G Ballard";"0"
"0006550789";"253";"null";"Geoff Ryman";"0"
"0006550924";"seven";"years";"Heinrich Harrer";"0"
"0006551971";"swimmer";"null";"Bill Broady";"2003"
"0006716652";"treader";"voyage";"C S Lewis";"0"
"0007106572";"creatures";"guilty";"Sue Welfare";"2001"
"0007110928";"billy";"null";"Pamela Stephenson";"2002"
"0007122039";"outboys";"girls";"Chris Manby";"2001"
"0007141076";"unless";"novel";"Carol Shields";"2002"
"0007154615";"unless";"novel";"Carol Shields";"2003"
"000716226X";"stripped";"bride";"Nikki Gemmell";"2004"
"0007170866";"stripped";"bride";"Anonymous";"2003"
"0020125305";"dictionary,";"sniglit";"Rich Hall";"1984"
"0020125607";"dictionary,";"sniglets";"Rich Hall";"1985"
"0020198817";"scribner";"classic";"F. Scott Fitzgerald";"1992"
"0020198906";"joshua";"null";"Joseph F Girzone";"1987"
"0020199309";"reissue";"tender";"F. Scott Fitzgerald";"1988"
"0020199600";"reissue";"gatsby";"F. Scott Fitzgerald";"1988"
"0020264763";"innocence";"age";"Edith Wharton";"1992"
"002026478X";"innocence";"tiein";"Edith Wharton";"1993"
"0020264801";"ethan";"frome";"Edith Wharton";"1987"
"0020360754";"stories";"heart";"Annie Proulx";"1995"
"002040400X";"unexplained";"sniglets";"Rich Hall";"1986"
"0020418809";"woodlawn";"caddie";"Carol Ryrie Brink";"1970"
"0020427115";"library";"mountains";"John Christopher";"1988"
"0020427859";"under";"stone";"Susan Cooper";"1989"
"0020435207";"drear,";"house";"Virginia Hamilton";"1984"
"0020442009";"horse";"and";"C. S. Lewis";"1970"
"0020442106";"chronicles";"battle";"C. S. Lewis";"1970"
"0020442203";"wardrobe";"lion,";"C.S. Lewis";"1970"
"0020442300";"magicians";"nephew";"C. S. Lewis";"1970"
"0020442408";"caspian";"prince";"C. S. Lewis";"1970"
"0020442505";"silver";"chair";"C. S. Lewis";"1970"
"0020442602";"treader";"voyage";"C. S. Lewis";"1970"
"0020446500";"zachariah";"for";"Robert C. O'Brien";"1987"
"0020449313";"scribner";"classics";"Marjorie Kinnan Rawlings";"1988"
