"ISBN";"1st-Keyword";"2nd-Keyword"
"0002005018";"callan";"clara"
"0002251760";"forgetting";"byzantium"
"0002255081";"spadework";"null"
"0002257203";"restraint";"beasts"
"0002259834";"wyoming";"edition"
"0002558122";"angelas";"ashes"
"0006480764";"girls";"lost"
"000648302X";"before";"after"
"0006485200";"daughter";"piano"
"0006485936";"dust";"null"
"000649840X";"angelas";"ashes"
"000651202X";"lisbon";"small"
"0006512062";"tiffany";"trials"
"0006514480";"futon";"fever"
"0006543545";"bookshop";"the"
"0006546684";"postcards";"null"
"0006547834";"smillas";"feeling"
"0006550576";"leaves";"red"
"0006550649";"cocaine";"nights"
"0006550789";"253";"null"
"0006550924";"seven";"years"
"0006551971";"swimmer";"null"
"0006716652";"treader";"voyage"
"0007106572";"creatures";"guilty"
"0007110928";"billy";"null"
"0007122039";"outboys";"girls"
"0007141076";"unless";"novel"
"0007154615";"unless";"novel"
"000716226X";"stripped";"bride"
"0007170866";"stripped";"bride"
"0020125305";"dictionary,";"sniglit"
"0020125607";"dictionary,";"sniglets"
"0020198817";"scribner";"classic"
"0020198906";"joshua";"null"
"0020199309";"reissue";"tender"
"0020199600";"reissue";"gatsby"
"0020264763";"innocence";"age"
"002026478X";"innocence";"tiein"
"0020264801";"ethan";"frome"
"0020360754";"stories";"heart"
"002040400X";"unexplained";"sniglets"
"0020418809";"woodlawn";"caddie"
"0020427115";"library";"mountains"
"0020427859";"under";"stone"
"0020435207";"drear,";"house"
"0020442009";"horse";"and"
"0020442106";"chronicles";"battle"
"0020442203";"wardrobe";"lion,"
"0020442300";"magicians";"nephew"
"0020442408";"caspian";"prince"
"0020442505";"silver";"chair"
"0020442602";"treader";"voyage"
"0020446500";"zachariah";"for"
"0020449313";"scribner";"classics"
"0020518307";"kilimanjaro";"scribner"
"0020518501";"reissue";"scribner"
"0020518609";"hemingway";"scribner"
"0020518706";"scribner";"classic"
"0020519001";"farewell";"scribner"
"0020532105";"scribner";"classic"
